EUFDNAME;COMPUNIT;CMPCLASS;CMPCLASSP
ENERC;KJ;ENERGY;MACROCMP
CHOAVL;G;TOTALCAR;MACROCMP
FAT;G;TOTALFAT;MACROCMP
PROT;G;PROTEIN;MACROCMP
FIBC;G;FIBRE;CARBOCMP
STARCH;G;STARCH;CARBOCMP
SUGAR;G;SUGAR;CARBOCMP
RIBF;MG;WSVITAM;VITAM
THIA;MG;WSVITAM;VITAM
VITC;MG;WSVITAM;VITAM
VITA;UG;FSVITAM;VITAM
VITD;UG;FSVITAM;VITAM
VITE;MG;FSVITAM;VITAM
CA;MG;MACROELM;MINERAL
FE;MG;TRACEELM;MINERAL
NA;MG;MACROELM;MINERAL
FACIDCTG;G;TRIGLYSE;FAT
FAPU;G;FATACID;FAT
FAMCIS;G;FATACID;FAT
FASAT;G;FATACID;FAT
