FOODID;FOODNAME;LANG
1;SUGAR;EN
2;FRUCTOSE;EN
3;SYRUP;EN
4;HONEY;EN
5;CANDY;EN
6;MILK CHOCOLATE, AVERAGE;EN
7;CHOCOLATE CONFECTION FILLED WITH MARMALADE;EN
8;LICORICE LIQUORICE;EN
9;JELLY CANDIES;EN
10;MARZIPAN ALMOND PASTE;EN
11;TOFFEE;EN
12;SAL-AMMONIAC;EN
14;CHOCOLATE BAR, AVERAGE;EN
20;COCOA POWDER, UNSWEETENED;EN
21;COCOA POWDER WITH SUGAR;EN
24;SORBITOL;EN
25;GELATIN;EN
26;BAKING YEAST;EN
27;MAIZE STARCH;EN
28;MUSTARD, PREPARED;EN
30;SALT IODISED;EN
31;SOYA SAUCE;EN
32;CHOCOLATE PLAIN;EN
33;MILK CHOCOLATE;EN
34;HALVA MADE WITH SESAME SEEDS AND SUGAR;EN
35;CANDY SUGAR-FREE;EN
36;SALT LOW SODIUM;EN
37;CHOCOLATE SWEETENED WITH SORBITOL;EN
38;MEAT BOUILLON POWDER/CUBE;EN
39;SWEETENER, ASPARTAM, POWDER;EN
40;CEREAL BAR WITH FRUITS AND NUTS;EN
43;RYE MALT;EN
44;CHOCOLATE BAR WITH FILLING;EN
62;PASTILLE SWEETENED WITH XYLITOL;EN
63;CHOCOLATE BAR LOW-FAT;EN
65;CHEWING GUM,  XYLITOL SWEETENED;EN
66;CHEWING GUM;EN
68;BARLEY STARCH;EN
69;FRUIT PASTILLE;EN
70;SWEETENER,  SACCHARIN;EN
73;RAISIN OR DRIED FRUIT COATED WITH YOGHURT;EN
74;BAKING POWDER;EN
75;FISH STOCK BROTH;EN
79;SALT WITHOUT IODINE, ROCK SALT;EN
100;RYE FLOUR WHOLE MEAL;EN
103;RYE FLAKES;EN
110;WHEAT FLOUR SEMI-COARSE;EN
111;WHEAT FLOUR WHOLE GRAIN;EN
112;SEMOLINA;EN
113;SEMOLINA, WHOLE WHEAT;EN
114;WHEAT FLAKES;EN
115;WHEAT GERM;EN
116;WHEAT BRAN;EN
117;MACARONI, PASTA;EN
119;MACARONI WHOLE WHEAT, SPAGHETTI;EN
120;NOODLE, WHEAT;EN
121;SPAGHETTI;EN
124;WHEAT FLOUR FOR YEAST BREAD;EN
125;FLOUR FOR BREAD ROLL;EN
126;BREADCRUMBS;EN
133;ICE CREAM CONE, WAFER;EN
142;WHEAT FLOUR SEMI-COARSE, FRESH;EN
150;BARLEY FLOUR;EN
151;BARLEY, PEARL;EN
152;BARLEY, ROLLED;EN
153;OAT FLOUR OATS, ROLLED;EN
154;POWDERED MIXTURE OF DRIED OATS AND BARLEY;EN
156;RICE, WHITE;EN
158;RICE WHOLE GRAIN;EN
160;MILLET, WHOLE GRAIN;EN
161;BUCKWHEAT, WHOLE GRAIN;EN
162;POTATO STARCH/GRAIN;EN
167;MAIZE, KERNEL, DRIED;EN
168;MALT FOR BEER;EN
170;OAT BRAN;EN
172;SPAGHETTI SPINACH;EN
173;OATMEAL MACARONI;EN
175;WHEAT GRAIN, CRUSHED;EN
176;RYE GRAIN, CRUSHED;EN
182;RICE FLOUR/FLAKE;EN
183;WHOLE GRAIN RICE FLOUR;EN
184;TORTILLA CHIPS TACO SHELL;EN
185;GLUTEN-FREE MIXTURE WITH WHEAT STARCH;EN
189;MIXED RYE AND WHEAT FLOUR;EN
202;POTATO DRIED;EN
