FOODID;EUFDNAME;BESTLOC;ACQTYPE;METHTYPE
1;ENERC;1698,30;S;S
1;CHOAVL;99,900;S;S
1;CHOCDF;99,880;S;S
1;FAT;0;F;E
1;PROT;0;L;P
1;ASH;0,020;D;AG
1;WATER;0,10;F;E
1;FIBC;0;S;U
1;STARCH;0;S;U
1;SUGAR;99,900;S;S
1;LACS;0;S;U
1;SUCS;99,900;S;CG
1;FOL;0;F;E
1;NIAEQ;0;F;E
1;VITPYRID;0;S;S
1;RIBF;0;F;E
1;THIA;0;F;E
1;VITB12;0;F;E
1;VITC;0;F;E
1;VITA;0;S;S
1;VITD;0;F;E
1;VITE;0;S;S
1;CA;0,40;F;E
1;CU;0,0100;F;E
1;FE;0,060;F;E
1;ID;5,00;F;E
1;K;2,00;F;E
1;MG;0,100;F;E
1;NA;0,10;F;E
1;NT;0,100;F;E
1;P;0,1;F;E
1;SE;0,500;D;AG
1;ZN;0,010;F;E
1;FACIDCTG;0;S;S
1;FAPU;0;S;S
1;FAMCIS;0;S;S
1;FASAT;0;S;S
1;FATRN;0;S;S
1;F18D2CN6;0;S;U
1;CHOLE;0;S;IG
2;ENERC;1696,60;S;S
2;CHOAVL;99,800;S;S
2;CHOCDF;91,700;S;S
2;FAT;0;F;E
2;PROT;0;S;S
2;ASH;0;F;E
2;WATER;0,30;S;I
2;FIBC;0;S;U
2;STARCH;0;S;U
2;SUGAR;99,800;S;S
2;LACS;0;S;U
2;SUCS;0;S;U
2;FOL;0;F;E
2;NIAEQ;0;F;E
2;VITPYRID;0;S;S
2;RIBF;0;F;E
2;THIA;0;F;E
2;VITB12;0;F;E
2;VITC;0;F;E
2;VITA;0;S;S
2;VITD;0;F;E
2;VITE;0;S;S
2;CA;0,10;F;E
2;CU;0,0100;F;E
2;FE;0,070;F;E
2;ID;5,00;F;E
2;K;0,30;F;E
2;MG;0;F;E
2;NA;0,10;F;E
2;NT;0;F;E
2;P;0,1;F;E
2;SE;0,500;D;AG
2;ZN;0,010;F;E
2;FACIDCTG;0;S;S
2;FAPU;0;S;S
2;FAMCIS;0;S;S
2;FASAT;0;S;S
2;FATRN;0;S;S
2;F18D2CN6;0;S;U
2;CHOLE;0;S;IG
3;ENERC;1261,40;S;S
3;CHOAVL;74,100;S;S
3;CHOCDF;79,300;S;S
3;FAT;0;F;E
3;PROT;0,10;I;E
3;ASH;1,100;D;AG
3;WATER;19,50;I;E
3;FIBC;0;S;U
3;STARCH;0;S;U
3;SUGAR;74,100;S;S
3;LACS;0;S;U
3;SUCS;28,200;I;E
3;FOL;0;F;E
3;NIAEQ;0;S;S
3;VITPYRID;0;S;S
3;RIBF;0,010;F;E
3;THIA;0;F;E
3;VITB12;0;F;E
3;VITC;0;F;E
3;VITA;0;S;S
3;VITD;0;F;E
3;VITE;0;S;S
3;CA;74,00;F;E
3;CU;0,2400;F;E
3;FE;2,500;F;E
3;ID;5,00;F;E
3;K;220,00;F;E
3;MG;34,000;F;E
3;NA;50,00;I;E
3;NT;0,016;L;P
3;P;2,0;F;E
3;SE;1,000;D;AG
3;ZN;0,130;F;E
3;FACIDCTG;0;S;S
3;FAPU;0;S;S
3;FAMCIS;0;S;S
3;FASAT;0;S;S
3;FATRN;0;S;S
3;F18D2CN6;0;S;U
3;CHOLE;0;S;IG
4;ENERC;1382,10;S;S
4;CHOAVL;80,800;S;S
4;CHOCDF;81,320;S;S
4;FAT;0;F;E
4;PROT;0,50;S;S
4;ASH;0,180;D;AG
4;WATER;18,00;F;E
4;FIBC;0;S;U
4;STARCH;0;S;U
4;SUGAR;80,800;S;S
4;LACS;0;S;U
4;SUCS;1,500;E;E
4;FOL;0;F;E
4;NIAEQ;0,200;S;S
4;VITPYRID;0;S;S
4;RIBF;0,040;F;E
4;THIA;0,0100;F;E
4;VITB12;0;F;E
4;VITC;4,00;F;E
4;VITA;0;S;S
4;VITD;0;F;E
4;VITE;0;S;S
4;CA;5,00;F;E
4;CU;0,0300;F;E
4;FE;0,500;F;E
4;ID;5,00;F;E
4;K;60,00;F;E
4;MG;3,000;F;E
4;NA;2,20;F;E
4;NT;0,080;F;E
4;P;7,0;F;E
4;SE;0,500;D;AG
4;ZN;0,100;F;E
4;FACIDCTG;0;S;S
4;FAPU;0;S;S
4;FAMCIS;0;S;S
4;FASAT;0;S;S
4;FATRN;0;S;S
4;F18D2CN6;0;S;U
4;CHOLE;0;S;IG
5;ENERC;1487,50;S;S
5;CHOAVL;87,000;S;S
5;CHOCDF;89,100;S;S
5;FAT;0;F;E
5;PROT;0,5;S;I
5;ASH;0,900;F;E
5;WATER;10;S;CG
5;FIBC;0;S;U
5;STARCH;33,50;S;IG
5;SUGAR;53,500;S;S
5;LACS;0;S;U
5;SUCS;37,4;S;CG
5;FOL;0;F;E
5;NIAEQ;0;F;E
5;VITPYRID;0;S;S
5;RIBF;0;F;E
5;THIA;0;F;E
5;VITB12;0;F;E
5;VITC;0;F;E
5;VITA;0;S;S
5;VITD;0;F;E
5;VITE;0;S;S
5;CA;7,00;F;E
5;CU;0,1750;F;E
5;FE;1,450;F;E
5;ID;12,00;F;E
5;K;100,00;F;E
5;MG;28,000;F;E
5;NA;100,00;F;E
5;P;4,0;F;E
5;SE;1,000;D;A
5;ZN;0,290;F;E
5;FACIDCTG;0;S;S
5;FAPU;0;S;S
5;FAMCIS;0;S;S
5;FASAT;0;S;S
5;FATRN;0;S;S
5;F18D2CN6;0;S;U
5;CHOLE;0;S;U
6;ENERC;2180,61;S;S
6;CHOAVL;53,900;S;S
6;CHOCDF;56,880;S;S
6;FAT;28,900;S;CG
6;PROT;10,13;S;S
6;ASH;2,100;D;AG
6;WATER;2,00;F;E
6;FIBC;2,200;S;CG
6;STARCH;3,00;S;IG
6;SUGAR;50,900;S;S
6;LACS;5,300;S;IG
6;SUCS;42,300;S;IG
6;FOL;7,00;F;E
6;NIAEQ;2,571;S;S
6;VITPYRID;0,08;S;S
6;RIBF;0,090;F;E
6;THIA;0,0700;F;E
6;VITB12;0;F;E
6;VITC;0;F;E
6;VITA;104,00;S;S
6;VITD;0;F;E
6;VITE;0,480;S;S
6;CA;277,00;F;E
6;CU;0,3200;F;E
6;FE;1,500;F;E
6;ID;35,00;F;E
6;K;460,00;F;E
6;MG;67,000;F;E
6;NA;120,00;F;E
6;NT;1,620;S;R
6;P;280,0;F;E
6;SE;2,000;D;A
6;ZN;1,800;F;E
6;FACIDCTG;28,240;S;R
6;FAPU;0,910;S;R
6;FAMCIS;9,0085;S;R
6;FASAT;17,0345;S;R
6;FATRN;0,0449;S;R
6;F18D2CN6;842,146;S;R
6;CHOLE;6,10;S;CG
7;ENERC;1771,12;S;S
7;CHOAVL;69,600;S;S
7;CHOCDF;70,18;S;S
7;FAT;13,400;L;P
7;PROT;5,22;S;S
7;ASH;1,200;D;AG
7;WATER;10;S;CG
7;FIBC;0;S;U
7;STARCH;5,00;S;IG
7;SUGAR;64,600;S;S
7;LACS;1,000;S;IG
7;SUCS;52,000;F;E
7;FOL;7,00;F;E
7;NIAEQ;1,310;S;R
7;VITPYRID;0,08;S;S
7;RIBF;0,260;F;E
7;THIA;0,0500;F;E
7;VITB12;0;F;E
7;VITC;0;F;E
7;VITA;52,11;S;S
7;VITD;0;F;E
7;VITE;0,288;S;S
7;CA;127,00;F;E
7;CU;0,3200;F;E
7;FE;1,900;F;E
7;ID;25,00;F;E
7;K;240,00;F;E
7;MG;50,000;F;E
7;NA;48,00;F;E
7;NT;0,844;S;R
7;P;140,0;F;E
7;SE;1,162;S;R
7;ZN;1,100;F;E
7;FACIDCTG;14,128;S;R
7;FAPU;0,461;S;R
7;FAMCIS;4,5052;S;R
7;FASAT;8,5184;S;R
7;FATRN;0,0225;S;R
7;F18D2CN6;423,958;S;R
7;CHOLE;3,05;S;R
8;ENERC;1587,06;S;S
8;CHOAVL;77,000;F;E
8;CHOCDF;81,025;S;S
8;FAT;5,200;S;CG
8;PROT;4,38;S;S
8;ASH;1,000;F;E
8;WATER;8,40;F;E
8;FIBC;1,400;S;CG
8;STARCH;15,00;S;IG
8;SUGAR;33,300;S;S
8;LACS;0;S;U
8;SUCS;27,100;S;IG
8;FOL;0;F;E
8;NIAEQ;0,614;S;S
8;VITPYRID;0;S;S
8;RIBF;0;F;E
8;THIA;0;F;E
8;VITB12;0;F;E
8;VITC;0;F;E
8;VITA;0;S;S
8;VITD;0;F;E
8;VITE;0;S;S
8;CA;73,00;F;E
8;CU;0,1900;F;E
8;FE;1,371;S;R
8;ID;9,00;F;E
8;K;150,00;F;E
8;MG;45,000;F;E
8;NA;600,00;L;P
8;NT;0,700;F;E
8;P;30,0;F;E
8;SE;1,000;D;AG
8;ZN;0,300;F;E
8;FACIDCTG;0;S;S
8;FAPU;0;S;S
8;FAMCIS;0;S;S
8;FASAT;0;S;S
8;FATRN;0;S;S
8;F18D2CN6;0;S;U
8;CHOLE;0;S;R
9;ENERC;1299,69;S;S
9;CHOAVL;75,000;S;S
9;CHOCDF;77,600;S;S
9;FAT;0,1;L;P
9;PROT;0,10;S;S
9;ASH;0,200;D;AG
9;WATER;22,00;F;E
9;FIBC;1,8;L;CG
9;STARCH;15;L;P
9;SUGAR;60,000;S;S
9;LACS;0;S;U
9;SUCS;43,9;S;I
9;FOL;0;F;E
9;NIAEQ;0,151;S;S
9;VITPYRID;0;S;S
9;RIBF;0,010;F;E
9;THIA;0;F;E
9;VITB12;0;F;E
9;VITC;1,00;F;E
9;VITA;0,82;S;S
9;VITD;0;F;E
9;VITE;0,297;S;S
9;CA;9,00;F;E
9;CU;0,0600;F;E
9;FE;0,300;F;E
9;ID;4,00;F;E
9;K;20,00;F;E
