FOODID;FOODNAME;LANG
1;SOCKER;SV
2;FRUKTSOCKER, FRUKTOS;SV
3;SIRAP;SV
4;HONUNG;SV
5;SÖTSAK KARAMELL;SV
6;CHOKLAD MEDELVÄRDE;SV
7;CHOKLADKONFEKT;SV
8;LAKRITS;SV
9;MARMELAD;SV
10;MARSIPAN, MANDELMASSA;SV
11;TOFFEE;SV
12;SALMIAK;SV
14;CHOKLADSTÅNG MED CHOKLAD, MEDELVÄRDE;SV
20;KAKAOPULVER;SV
21;KAKAOPULVER SOCKRAT;SV
24;SORBITOL;SV
25;GELATIN;SV
26;JÄST;SV
27;MAJSSTÄRKELSE;SV
28;SENAP;SV
30;KOKSALT JODERAT;SV
31;SOJASÅS;SV
32;MÖRK CHOKLAD;SV
33;MJÖLKCHOKLAD;SV
34;HALVA-SESAMFRÖPREPARAT;SV
35;SÖTSAK SOCKERFRI;SV
36;MINERALSALT MEDELVÄRDE;SV
37;CHOKLAD SOCKERFRI SÖTAD MED SORBITOL;SV
38;KÖTTBULJONGPULVER/KONCENTRAT;SV
39;SÖTNINGSMEDEL ASPARTAM, PULVER;SV
40;MELLANMÅLSSTÅNG MED FIBER;SV
43;RÅGMALT;SV
44;CHOKLADSTÅNG MED CHOKLADFYLLNING MEDELVÄRDE;SV
62;PASTILL SÖTAD MED XYLITOL;SV
63;CHOKLADSTÅNG LÅG FETTHALT;SV
65;XYLITOLTUGGUMMI;SV
66;TUGGUMMI;SV
68;KORNSTÄRKELSE;SV
69;FRUKTPASTILL ARABIKUMPASTILL;SV
70;SÖTNINGSMEDEL SACKARIN;SV
73;YOGHURTRUSSIN/YOGHURTFRUKT ÖVERDRAGEN TORKAD FRUKT;SV
74;BAKPULVER;SV
75;FISKBULJONG UTSPÄDD;SV
79;SALT OJODAT BERGSSALT;SV
100;RÅGMJÖL FULLKORNSMJÖL;SV
103;RÅGFLINGOR;SV
110;VETEMJÖL HALVGROVT;SV
111;GRAHAMMJÖL;SV
112;MANNAGRYN;SV
113;MANNAGRYN MÖRKA;SV
114;VETEFLINGOR;SV
115;VETEGRODDAR;SV
116;VETEKLI;SV
117;MAKARONER, PASTA;SV
